PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;Procedencia;Destino;;OPER;Descricao_OPER;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6;MF24;MF25;MF26;MF27;ME11;ME12;CD1
;;;FP18;02 LASER + 07. P. Eletrostática;Planta 3;Planta 3;;56;SOLDAGEM ESTRUTURAL PAREDES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SCJ1;04 MONTAGEM E SOLDA;Planta 3;Planta 3;;57;PINTURA ESTRUTURAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SCJ2;04 MONTAGEM E SOLDA + 06 P. LÍQUIDA;Planta 3;Planta 4;;58;INSPEÇÃO FINAL P3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SCJ3;04 MONTAGEM E SOLDA + 07 P. ELETROSTÁTICA;Planta 3;Planta 4;;59;INSPEÇÃO FINAL P4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FB1;FABRICAÇÃO BARRAMENTO + INSPEÇÃO;Planta 4;Planta 4;;60;FECHAMENTO DE ACESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EXP1;INSPEÇÃO FINAL P3;Planta 3;Planta 4;;61;ACABAMENTO E VEDAÇÃO MÓDULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EXP2;INSPEÇÃO FINAL P4;Planta 4;Planta 4;;62;IÇAMENTO DE JUNÇÃO DE MÓDULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PER6;FABRICAÇÃO DE BARRAMENTOS;Planta 4;Planta 4;;63;CORTE - PAINÉIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MF24;Instalação Geral Blanking Panel - Data Hall;Planta 4;Planta 4;;64;FURAÇÃO - PAINÉIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MF25;Fixação de Suportes;Planta 4;Planta 4;;65;DOBRA - PAINÉIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
